 ,Area,Mean,Min,Max,X,Y
1,0,148,148,148,711.000,513.000
2,0,107,107,107,794.500,518.500
3,0,120,120,120,863.500,524.500
4,0,126,126,126,947.500,530.500
5,0,173,173,173,1037.500,533.500
6,0,136,136,136,1118.500,536.500
7,0,162,162,162,1196.500,533.500
8,0,157,157,157,1265.500,533.500
9,0,224,224,224,1340.500,530.500
10,0,166,166,166,1433.500,545.500
11,0,161,161,161,1541.500,545.500
12,0,140,140,140,1607.500,548.500
13,0,196,196,196,1700.500,554.500
14,0,136,136,136,1775.500,536.500
15,0,174,174,174,1856.500,530.500
16,0,170,170,170,1943.500,530.500
17,0,162,162,162,704.500,593.500
18,0,155,155,155,785.500,608.500
19,0,134,134,134,860.500,608.500
20,0,172,172,172,938.500,617.500
21,0,153,153,153,1025.500,623.500
22,0,154,154,154,1109.500,623.500
23,0,151,151,151,1187.500,620.500
24,0,184,184,184,1259.500,626.500
25,0,143,143,143,1334.500,623.500
26,0,126,126,126,1427.500,632.500
27,0,175,175,175,1535.500,629.500
28,0,132,132,132,1601.500,623.500
29,0,114,114,114,1694.500,632.500
30,0,120,120,120,1775.500,614.500
31,0,166,166,166,1850.500,602.500
32,0,152,152,152,1934.500,599.500
33,0,102,102,102,695.500,680.500
34,0,108,108,108,773.500,683.500
35,0,124,124,124,854.500,692.500
36,0,165,165,165,935.500,710.500
37,0,123,123,123,1016.500,710.500
38,0,107,107,107,1103.500,707.500
39,0,161,161,161,1172.500,707.500
40,0,143,143,143,1256.500,707.500
41,0,165,165,165,1325.500,707.500
42,0,145,145,145,1427.500,719.500
43,0,156,156,156,1529.500,707.500
44,0,145,145,145,1595.500,701.500
45,0,82,82,82,1691.500,695.500
46,0,181,181,181,1775.500,689.500
47,0,152,152,152,1853.500,677.500
48,0,163,163,163,1931.500,671.500
49,0,128,128,128,689.500,776.500
50,0,134,134,134,752.500,776.500
51,0,158,158,158,836.500,782.500
52,0,186,186,186,923.500,788.500
53,0,156,156,156,995.500,791.500
54,0,154,154,154,1088.500,794.500
55,0,138,138,138,1169.500,797.500
56,0,138,138,138,1238.500,803.500
57,0,114,114,114,1325.500,815.500
58,0,119,119,119,1424.500,812.500
59,0,180,180,180,1523.500,812.500
60,0,140,140,140,1589.500,818.500
61,0,72,72,72,1691.500,791.500
62,0,138,138,138,1781.500,785.500
63,0,161,161,161,1850.500,773.500
64,0,178,178,178,1928.500,770.500
65,0,94,94,94,686.500,857.500
66,0,89,89,89,749.500,869.500
67,0,136,136,136,827.500,869.500
68,0,143,143,143,908.500,872.500
69,0,142,142,142,983.500,875.500
70,0,171,171,171,1070.500,881.500
71,0,123,123,123,1151.500,881.500
72,0,112,112,112,1235.500,893.500
73,0,170,170,170,1325.500,905.500
74,0,162,162,162,1424.500,899.500
75,0,128,128,128,1514.500,896.500
76,0,139,139,139,1595.500,887.500
77,0,162,162,162,1691.500,878.500
78,0,151,151,151,1778.500,875.500
79,0,115,115,115,1853.500,869.500
80,0,162,162,162,1934.500,866.500
81,0,125,125,125,677.500,932.500
82,0,67,67,67,743.500,944.500
83,0,72,72,72,809.500,947.500
84,0,127,127,127,896.500,953.500
85,0,153,153,153,977.500,956.500
86,0,159,159,159,1058.500,962.500
87,0,160,160,160,1136.500,965.500
88,0,161,161,161,1220.500,974.500
89,0,155,155,155,1322.500,983.500
90,0,142,142,142,1418.500,980.500
91,0,183,183,183,1523.500,977.500
92,0,110,110,110,1604.500,974.500
93,0,125,125,125,1697.500,968.500
94,0,187,187,187,1784.500,968.500
95,0,200,200,200,1856.500,965.500
96,0,179,179,179,1937.500,968.500
97,0,156,156,156,671.500,1022.500
98,0,126,126,126,728.500,1034.500
99,0,145,145,145,791.500,1040.500
100,0,120,120,120,881.500,1046.500
101,0,100,100,100,956.500,1046.500
102,0,160,160,160,1037.500,1040.500
103,0,151,151,151,1121.500,1046.500
104,0,162,162,162,1211.500,1046.500
105,0,148,148,148,1307.500,1052.500
106,0,175,175,175,1421.500,1055.500
107,0,112,112,112,1535.500,1064.500
108,0,170,170,170,1619.500,1067.500
109,0,182,182,182,1706.500,1073.500
110,0,199,199,199,1787.500,1073.500
111,0,131,131,131,1859.500,1079.500
112,0,204,204,204,1931.500,1082.500
113,0,153,153,153,665.500,1118.500
114,0,117,117,117,719.500,1133.500
115,0,129,129,129,779.500,1139.500
116,0,163,163,163,851.500,1133.500
117,0,150,150,150,920.500,1130.500
118,0,144,144,144,998.500,1127.500
119,0,174,174,174,1082.500,1106.500
120,0,189,189,189,1190.500,1109.500
121,0,173,173,173,1316.500,1112.500
122,0,157,157,157,1430.500,1118.500
123,0,132,132,132,1544.500,1142.500
124,0,131,131,131,1628.500,1160.500
125,0,166,166,166,1703.500,1160.500
126,0,159,159,159,1775.500,1163.500
127,0,136,136,136,1844.500,1160.500
128,0,53,53,53,1922.500,1157.500
129,0,135,135,135,659.500,1208.500
130,0,89,89,89,716.500,1214.500
131,0,139,139,139,782.500,1217.500
132,0,98,98,98,845.500,1220.500
133,0,134,134,134,908.500,1214.500
134,0,162,162,162,986.500,1190.500
135,0,178,178,178,1061.500,1163.500
136,0,191,191,191,1175.500,1178.500
137,0,212,212,212,1298.500,1184.500
138,0,158,158,158,1436.500,1187.500
139,0,177,177,177,1541.500,1208.500
140,0,157,157,157,1622.500,1229.500
141,0,143,143,143,1700.500,1235.500
142,0,95,95,95,1772.500,1238.500
143,0,138,138,138,1841.500,1235.500
144,0,145,145,145,1913.500,1220.500
145,0,130,130,130,659.500,1301.500
146,0,126,126,126,713.500,1310.500
147,0,102,102,102,782.500,1313.500
148,0,116,116,116,845.500,1322.500
149,0,106,106,106,917.500,1319.500
150,0,146,146,146,977.500,1301.500
151,0,141,141,141,1040.500,1271.500
152,0,169,169,169,1160.500,1289.500
153,0,169,169,169,1292.500,1283.500
154,0,129,129,129,1430.500,1292.500
155,0,139,139,139,1532.500,1304.500
156,0,131,131,131,1613.500,1316.500
157,0,140,140,140,1685.500,1313.500
158,0,120,120,120,1757.500,1307.500
159,0,127,127,127,1832.500,1301.500
160,0,87,87,87,1910.500,1289.500
161,0,137,137,137,662.500,1373.500
162,0,136,136,136,719.500,1388.500
163,0,134,134,134,782.500,1403.500
164,0,112,112,112,839.500,1406.500
165,0,123,123,123,911.500,1409.500
166,0,135,135,135,974.500,1418.500
167,0,131,131,131,1025.500,1433.500
168,0,121,121,121,1145.500,1430.500
169,0,149,149,149,1292.500,1433.500
170,0,121,121,121,1421.500,1439.500
171,0,148,148,148,1523.500,1427.500
172,0,172,172,172,1598.500,1421.500
173,0,133,133,133,1673.500,1406.500
174,0,119,119,119,1754.500,1394.500
175,0,111,111,111,1829.500,1379.500
176,0,79,79,79,1910.500,1364.500
177,0,145,145,145,662.500,1448.500
178,0,117,117,117,716.500,1466.500
179,0,127,127,127,788.500,1478.500
180,0,110,110,110,851.500,1499.500
181,0,136,136,136,920.500,1520.500
182,0,153,153,153,986.500,1556.500
183,0,113,113,113,1043.500,1601.500
184,0,128,128,128,1157.500,1571.500
185,0,144,144,144,1286.500,1556.500
186,0,78,78,78,1403.500,1553.500
187,0,183,183,183,1505.500,1550.500
188,0,173,173,173,1580.500,1526.500
189,0,142,142,142,1658.500,1505.500
190,0,81,81,81,1742.500,1487.500
191,0,171,171,171,1814.500,1466.500
192,0,167,167,167,1901.500,1445.500
193,0,147,147,147,656.500,1523.500
194,0,130,130,130,722.500,1538.500
195,0,113,113,113,803.500,1562.500
196,0,146,146,146,878.500,1583.500
197,0,159,159,159,953.500,1610.500
198,0,41,41,41,1013.500,1655.500
199,0,32,32,32,1085.500,1673.500
200,0,82,82,82,1181.500,1658.500
201,0,21,21,21,1295.500,1655.500
202,0,104,104,104,1391.500,1649.500
203,0,63,63,63,1493.500,1631.500
204,0,164,164,164,1577.500,1601.500
205,0,176,176,176,1655.500,1583.500
206,0,115,115,115,1739.500,1559.500
207,0,85,85,85,1820.500,1547.500
208,0,168,168,168,1901.500,1532.500
209,0,190,190,190,653.500,1595.500
210,0,80,80,80,728.500,1607.500
211,0,107,107,107,809.500,1622.500
212,0,32,32,32,899.500,1646.500
213,0,27,27,27,968.500,1673.500
214,0,52,52,52,1052.500,1694.500
215,0,22,22,22,1112.500,1709.500
216,0,112,112,112,1205.500,1700.500
217,0,73,73,73,1310.500,1703.500
218,0,61,61,61,1388.500,1697.500
219,0,33,33,33,1472.500,1685.500
220,0,151,151,151,1565.500,1664.500
221,0,54,54,54,1649.500,1652.500
222,0,58,58,58,1733.500,1640.500
223,0,108,108,108,1823.500,1622.500
224,0,171,171,171,1901.500,1610.500
225,0,99,99,99,650.500,1670.500
226,0,124,124,124,734.500,1673.500
227,0,74,74,74,818.500,1688.500
228,0,88,88,88,908.500,1706.500
229,0,133,133,133,992.500,1721.500
230,0,68,68,68,1076.500,1733.500
231,0,25,25,25,1160.500,1739.500
232,0,99,99,99,1223.500,1745.500
233,0,56,56,56,1313.500,1745.500
234,0,140,140,140,1376.500,1742.500
235,0,144,144,144,1466.500,1730.500
236,0,161,161,161,1559.500,1721.500
237,0,161,161,161,1649.500,1715.500
238,0,119,119,119,1733.500,1712.500
239,0,165,165,165,1817.500,1691.500
240,0,12,12,12,1913.500,1688.500
241,0,124,124,124,653.500,1721.500
242,0,120,120,120,746.500,1721.500
243,0,107,107,107,833.500,1736.500
244,0,74,74,74,929.500,1748.500
245,0,66,66,66,1016.500,1763.500
246,0,23,23,23,1106.500,1781.500
247,0,86,86,86,1166.500,1781.500
248,0,40,40,40,1244.500,1784.500
249,0,21,21,21,1322.500,1787.500
250,0,23,23,23,1388.500,1790.500
251,0,128,128,128,1466.500,1784.500
252,0,134,134,134,1559.500,1778.500
253,0,45,45,45,1640.500,1781.500
254,0,128,128,128,1736.500,1775.500
255,0,120,120,120,1811.500,1766.500
256,0,124,124,124,1889.500,1766.500
