 ,Area,Mean,Min,Max,X,Y
1,0,148,148,148,714.000,528.000
2,0,146,146,146,791.500,527.500
3,0,152,152,152,863.500,533.500
4,0,135,135,135,941.500,533.500
5,0,179,179,179,1031.500,536.500
6,0,189,189,189,1109.500,536.500
7,0,181,181,181,1187.500,533.500
8,0,84,84,84,1250.500,536.500
9,0,220,220,220,1325.500,533.500
10,0,162,162,162,1412.500,545.500
11,0,161,161,161,1517.500,545.500
12,0,60,60,60,1580.500,548.500
13,0,176,176,176,1670.500,554.500
14,0,158,158,158,1745.500,539.500
15,0,159,159,159,1820.500,533.500
16,0,156,156,156,1907.500,533.500
17,0,73,73,73,713.500,611.500
18,0,173,173,173,788.500,617.500
19,0,126,126,126,863.500,617.500
20,0,231,231,231,944.500,620.500
21,0,137,137,137,1025.500,623.500
22,0,182,182,182,1106.500,623.500
23,0,169,169,169,1178.500,620.500
24,0,221,221,221,1250.500,620.500
25,0,160,160,160,1325.500,623.500
26,0,136,136,136,1406.500,629.500
27,0,91,91,91,1508.500,620.500
28,0,64,64,64,1577.500,617.500
29,0,114,114,114,1661.500,626.500
30,0,140,140,140,1742.500,608.500
31,0,120,120,120,1817.500,605.500
32,0,153,153,153,1895.500,599.500
33,0,117,117,117,710.500,689.500
34,0,99,99,99,788.500,695.500
35,0,124,124,124,866.500,695.500
36,0,188,188,188,947.500,710.500
37,0,135,135,135,1025.500,707.500
38,0,168,168,168,1106.500,704.500
39,0,197,197,197,1175.500,701.500
40,0,147,147,147,1253.500,698.500
41,0,165,165,165,1316.500,704.500
42,0,116,116,116,1409.500,707.500
43,0,174,174,174,1505.500,695.500
44,0,122,122,122,1571.500,686.500
45,0,96,96,96,1658.500,683.500
46,0,163,163,163,1739.500,677.500
47,0,42,42,42,1820.500,671.500
48,0,203,203,203,1892.500,665.500
49,0,106,106,106,707.500,782.500
50,0,137,137,137,776.500,782.500
51,0,167,167,167,863.500,785.500
52,0,114,114,114,944.500,788.500
53,0,50,50,50,1022.500,785.500
54,0,87,87,87,1106.500,785.500
55,0,134,134,134,1181.500,785.500
56,0,99,99,99,1244.500,794.500
57,0,63,63,63,1319.500,800.500
58,0,172,172,172,1406.500,791.500
59,0,171,171,171,1499.500,791.500
60,0,132,132,132,1559.500,797.500
61,0,74,74,74,1658.500,764.500
62,0,86,86,86,1745.500,770.500
63,0,197,197,197,1811.500,761.500
64,0,189,189,189,1889.500,761.500
65,0,123,123,123,704.500,857.500
66,0,130,130,130,776.500,869.500
67,0,125,125,125,860.500,866.500
68,0,204,204,204,941.500,863.500
69,0,154,154,154,1022.500,863.500
70,0,37,37,37,1106.500,869.500
71,0,158,158,158,1169.500,866.500
72,0,85,85,85,1244.500,872.500
73,0,165,165,165,1325.500,878.500
74,0,189,189,189,1409.500,869.500
75,0,165,165,165,1490.500,863.500
76,0,119,119,119,1562.500,857.500
77,0,170,170,170,1655.500,851.500
78,0,152,152,152,1736.500,851.500
79,0,122,122,122,1808.500,848.500
80,0,144,144,144,1892.500,854.500
81,0,143,143,143,704.500,929.500
82,0,129,129,129,779.500,935.500
83,0,122,122,122,851.500,938.500
84,0,128,128,128,944.500,941.500
85,0,22,22,22,1022.500,944.500
86,0,173,173,173,1100.500,947.500
87,0,189,189,189,1169.500,944.500
88,0,129,129,129,1241.500,953.500
89,0,199,199,199,1322.500,953.500
90,0,107,107,107,1406.500,947.500
91,0,206,206,206,1493.500,944.500
92,0,90,90,90,1568.500,938.500
93,0,155,155,155,1649.500,935.500
94,0,166,166,166,1730.500,938.500
95,0,180,180,180,1805.500,938.500
96,0,229,229,229,1889.500,947.500
97,0,194,194,194,698.500,1010.500
98,0,184,184,184,773.500,1022.500
99,0,154,154,154,845.500,1022.500
100,0,207,207,207,938.500,1022.500
101,0,186,186,186,1019.500,1022.500
102,0,206,206,206,1097.500,1022.500
